0.793631, 0.776471, 0
0.793631, 0.764706, 1
0.729639, 0.756863, 0
0.729639, 0.74902, 1
0.648629, 0.729412, 0
0.648629, 0.717647, 1
0.598633, 0.705882, 0
0.598633, 0.694118, 1
1.00163, 0.819608, 0
1.00163, 0.835294, 1
0.909655, 0.8, 0
0.909655, 0.788235, 1
0.839644, 0.784314, 0
0.839644, 0.776471, 1
0.781638, 0.764706, 0
0.781638, 0.760784, 1
1.16964, 0.843137, 0
1.16964, 0.831373, 1
1.27866, 0.85098, 0
1.27866, 0.847059, 1
1.42767, 0.87451, 0
1.42767, 0.862745, 1
1.68268, 0.890196, 0
1.68268, 0.882353, 1
1.84168, 0.894118, 0
1.84168, 0.886275, 1
2.0447, 0.905882, 0
2.0447, 0.898039, 1
2.24571, 0.913725, 0
2.24571, 0.905882, 1
2.37672, 0.921569, 0
2.37672, 0.917647, 1
2.57875, 0.921569, 0
2.57875, 0.921569, 1
2.75473, 0.933333, 0
2.75473, 0.92549, 1
4.1578, 0.941176, 0
4.1578, 0.937255, 1
4.41483, 0.945098, 0
4.41483, 0.945098, 1
4.41483, 0.945098, 0
4.52778, 0.937255, 1
2.69374, 0.921569, 0
2.69374, 0.917647, 1
2.67374, 0.92549, 0
2.67374, 0.917647, 1
3.00675, 0.933333, 0
3.00675, 0.92549, 1
3.31077, 0.937255, 0
3.31077, 0.929412, 1
3.50476, 0.937255, 0
3.50476, 0.933333, 1
3.84386, 0.945098, 0
3.84386, 0.933333, 1
4.20691, 0.94902, 0
4.20691, 0.945098, 1
0.612632, 0.717647, 0
0.612632, 0.709804, 1
0.596626, 0.698039, 0
0.596626, 0.690196, 1
0.58, 0.690196, 0
0.58, 0.682353, 1
0.56, 0.678431, 0
0.56, 0.678431, 1
0.54, 0.666667, 0
0.54, 0.662745, 1
0.52, 0.658824, 0
0.52, 0.65098, 1
0.5, 0.643137, 0
0.5, 0.631373, 1
0.48, 0.627451, 0
0.48, 0.619608, 1
0.46, 0.607843, 0
0.46, 0.607843, 1
0.44, 0.596078, 0
0.44, 0.588235, 1
0.42, 0.564706, 0
0.42, 0.564706, 1
0.4, 0.545098, 0
0.4, 0.54902, 1
0.38, 0.513726, 0
0.38, 0.509804, 1
0.36, 0.486275, 0
0.36, 0.478431, 1
0.34, 0.454902, 0
0.34, 0.447059, 1
0.32, 0.407843, 0
0.32, 0.411765, 1
0.3, 0.364706, 0
0.3, 0.368627, 1
0.25, 0.235294, 0
0.25, 0.235294, 1
0.23, 0.152941, 0
0.23, 0.156863, 1
0.21, 0.054902, 0
0.21, 0.0627451, 1
0.2, 0, 1
0.2, 0, 0
